pid,brand,cate_depth1,cate_depth2,subject,sub_desc,price,dc,delivery,event_label,upload_img,org_img,info_imgs,info_org_imgs,detail_imgs,detail_org_imgs,pdate
1,설화수,101,001,"[설화수] 자음 2종 세트 (자음수, 자음유액) ",풍성하게 즐기는 스테디셀러세트(+쇼핑백 선택 가능),140000,10,상온,1,"[""upload_files/1.jpg""]",null,"[""upload_files/1_1_1.jpg"",""upload_files/1_1_2.jpg""]",null,"[""upload_files/1_2_1.jpg""]",null,2025-01-25 12:41
2,달바,101,001,[달바] 화이트 트러플 퍼스트 스프레이 세럼 100ml 2개 세트 (옐로우 미스트 세럼)(+마스크팩 1매 증정),윤기와 보습을 더하는 산뜻 미스트 ,59800,43,상온,1,"[""upload_files/2.jpg""]",null,"[""upload_files/2_1_1.jpg"",""upload_files/2_1_2.jpg""]",null,"[""upload_files/2_2_1.jpg"",""upload_files/2_2_2.jpg""]",null,2025-01-26 12:41
3,피토메르,101,002,[타임특가][피토메르] 특별 기획 세트 (올리고포스세럼 30ml+멜팅크림 30ml+올리고 비타C세럼 15ml),홈 에스테틱을 위한 기획 세트,272000,65,상온,1,"[""upload_files/3.jpg""]",null,"[""upload_files/3_1_1.jpg"",""upload_files/3_1_2.jpg""]",null,"[""upload_files/3_2_1.jpg""]",null,2025-01-27 12:41
4,라 메르,101,002,[라 메르] 크렘 드 라 메르 30ml,깊은 보습감을 선사하는 기적의 크림,312000,15,상온,1,"[""upload_files/4.jpg""]",null,"[""upload_files/4_1_1.jpg"",""upload_files/4_1_2.jpg""]",null,"[""upload_files/4_2_1.jpg"",""upload_files/4_2_2.jpg""]",null,2025-01-28 12:41
5,피지오겔,101,002,"[피지오겔] DMT 로션 선물세트(로션 200ml, 크림30ml, 토너 50ml, 클렌징 젤 30ml) (쇼핑백 포함)",피지오겔 베스트 상품으로 구성된 선물세트,47500,37,상온,1,"[""upload_files/5.jpg""]",null,"[""upload_files/5_1_1.jpg"",""upload_files/5_1_2.jpg""]",null,"[""upload_files/5_2_1.jpg"",""upload_files/5_2_2.jpg""]",null,2025-01-29 12:41
6,에스티로더,102,001,"[에스티로더] 더블웨어 파운데이션 30ml 8종(택1, 펌핑기 증정)",무너짐 없는 베이스 메이크업의 비결,91000,15,상온,0,"[""upload_files/6.jpg""]",null,"[""upload_files/6_1_1.jpg"",""upload_files/6_1_2.jpg""]",null,"[""upload_files/6_2_1.jpg"",""upload_files/6_2_2.jpg""]",null,2025-01-30 12:41
7,달바,102,001,[달바] 워터풀 핑크 톤업 선크림 50ml (비건),맑은 광채를 더해주는 혼합자차,34000,29,상온,0,"[""upload_files/7.jpg""]",null,"[""upload_files/7_1_1.jpg"",""upload_files/7_1_2.jpg""]",null,"[""upload_files/7_2_1.jpg"",""upload_files/7_2_2.jpg""]",null,2025-01-31 12:41
8,프레시안,102,002,[프레시안] 에그라이크 크림 블러쉬 6종 (택1),메이크업 아티스트 나겸쌤 공동개발 블러쉬,22000,5,상온,0,"[""upload_files/8.jpg""]",null,"[""upload_files/8_1_1.jpg"",""upload_files/8_1_2.jpg""]",null,"[""upload_files/8_2_1.jpg"",""upload_files/8_2_2.jpg""]",null,2025-02-12 12:41
9,글린트,102,002,[글린트] 하이라이터 피치문 기획세트,맑고 청초한 피치빛 광채,22000,10,상온,1,"[""upload_files/9.jpg""]",null,"[""upload_files/9_1_1.jpg"",""upload_files/9_1_2j.pg""]",null,"[""upload_files/9_2_1.jpg"",""upload_files/9_2_2.jpg""]",null,2025-02-13 12:41
10,페리페라,102,002,[페리페라] 약과몰입에디션NEW 맑게 물든 선샤인 치크 2종(택1),두 볼을 맑게 물들인 햇살 컬러,8000,18,상온,1,"[""upload_files/10.jpg""]",null,"[""upload_files/10_1_1.jpg"",""upload_files/10_1_2jpg""]",null,"[""upload_files/10_2_1.jpg"",""upload_files/10_2_2.jpg""]",null,2025-02-14 12:41
